balance,purchases,cash_adv,cash_adv_trx,purchases_trx,prc_full_pay,tenure,credit_limit
12462.44,0,0,0,217,0,12,2800
0,272.71,272.71,1,0,0.17,8,1200
1957.3,0,0,0,19,0,12,5000
150.64,8362.15,8362.15,14,1,0,12,17000
0,2799.71,2799.71,3,0,0,12,13000
907,273.56,273.56,1,8,0,12,5000
1271.12,0,0,0,33,0,12,5000
250.6,0,0,0,7,0,12,3000
796.33,13748.47,13748.47,16,1,0.08,12,13000
440,0,0,0,22,0,12,4000
1330.62,0,0,0,8,0,12,2000
5491.79,0,0,0,52,0,12,17000
897.86,586.27,586.27,3,18,0,12,1200
22009.92,0,0,0,216,0,12,18000
720.6,723.31,723.31,1,12,0,12,2500
197.06,0,0,0,5,0,12,1000
0,1307.1,1307.1,3,0,0,12,7500
0,4002.35,4002.35,9,0,0,12,7000
2084.48,0,0,0,13,0,12,21500
5779.36,0,0,0,97,0,12,6500
1025,0,0,0,2,0,12,7500
689.7,0,0,0,10,0,12,10000
28.65,384.26,384.26,1,1,0.08,12,9000
944.96,0,0,0,9,0,12,1500
1039.2,103.1,103.1,1,11,0.08,12,13500
4059.93,555.47,555.47,7,14,0,12,7000
4075.37,0,0,0,31,0,12,6500
870.24,0,0,0,24,1,12,8000
9792.23,2444.45,2444.45,26,216,0,12,20000
2463.12,0,0,0,46,0.64,12,4000
1859.34,0,0,0,4,0.25,12,20000
3488.49,3303.15,3303.15,15,46,0,12,7900
0,66.28,66.28,2,0,0,12,1800
7283.31,0,0,0,77,0.25,12,11000
295,93.58,93.58,1,2,0,12,1200
0,429.69,429.69,5,0,0,12,3000
0,988.36,988.36,1,0,0,12,8500
648.22,0,0,0,27,0,12,1200
557.19,0,0,0,5,0,12,4000
469.98,0,0,0,6,0.5,6,1000
0,369.95,369.95,1,0,0,12,6500
131.64,0,0,0,12,0,12,8000
5078.14,1424.44,1424.44,1,42,0.92,12,15000
924.6,0,0,0,12,0,12,1000
1975.4,0,0,0,17,0,12,4000
0,3671.78,3671.78,5,0,0,9,4000
10221.35,1620.69,1620.69,18,130,0.75,12,10500
300,0,0,0,3,0.18,12,12500
0,3905.33,3905.33,9,0,0.2,7,3000
5715,1626.35,1626.35,3,90,0,12,14000
0,205.74,205.74,2,0,0,12,1800
766.61,1017.12,1017.12,5,12,0,12,2300
0,2040.43,2040.43,13,0,0,12,3000
3535.8,0,0,0,44,1,12,20000
256.11,0,0,0,5,0.17,12,5300
2697.48,0,0,0,39,0,12,2500
23,0,0,0,1,0,12,5000
117,17661.49,17661.49,28,3,0.17,12,4500
196.81,0,0,0,3,0,12,12000
653.73,0,0,0,15,0,12,10000
2009.05,0,0,0,22,0.14,12,1200
147.78,1657.09,1657.09,4,2,0,12,6000
516.54,0,0,0,30,0,12,900
969.56,446.23,446.23,1,6,0,12,2400
311.45,955.96,955.96,1,15,0,12,1500
280.4,0,0,0,3,0.09,12,6150
66.14,0,0,0,2,0,12,6000
79.2,1631.58,1631.58,1,1,0.08,12,4000
1453.32,0,0,0,18,0,12,16500
756.54,0,0,0,15,0,12,4000
3507.35,0,0,0,34,0,12,11500
3163.69,0,0,0,36,0.89,12,8000
1343.19,0,0,0,33,0.55,12,15000
873,0,0,0,5,0,12,8000
47.55,2039.53,2039.53,14,2,0,12,6000
370,0,0,0,2,0,12,23000
405.75,1044.65,1044.65,6,12,0,12,2000
261.64,0,0,0,10,0.82,12,4000
1989.28,893.76,893.76,2,8,0,12,14000
10848.5,0,0,0,123,0,12,7500
43.39,0,0,0,1,0.09,12,4000
645.32,1665.33,1665.33,9,2,0,12,1800
987.1,5468.62,5468.62,16,9,0,12,10500
1464.14,3947.87,3947.87,10,23,0,12,11500
927,0,0,0,4,0.22,12,5000
393.62,5933.47,5933.47,24,15,0,12,10000
965.5,0,0,0,9,0,12,7500
0,102.28,102.28,1,0,0,12,7500
336.41,0,0,0,9,0,12,6000
540,0,0,0,3,0,12,4000
36,0,0,0,2,0,12,7500
878.52,197.65,197.65,1,39,0,12,1500
144.26,0,0,0,7,0.11,12,11500
493.85,1738.33,1738.33,16,10,0,12,2000
4490.69,188.78,188.78,1,52,0,12,8500
11188.62,0,0,0,151,0,12,10000
1829.2,0,0,0,17,0,12,7000
75.99,0,0,0,1,0,7,2700
1824.16,0,0,0,23,0,12,14500
9325.22,0,0,0,5,0,12,8500
100,0,0,0,1,0,12,4000
1431.89,0,0,0,39,0,12,4000
2260.41,0,0,0,25,0,12,8500
0,466.64,466.64,1,0,0.5,9,1200
10410.49,0,0,0,41,0.36,12,19500
990.7,0,0,0,13,0,12,1400
3034.92,0,0,0,12,0.08,12,2900
1038.81,1092.63,1092.63,1,21,0,12,5700
45.65,0,0,0,1,0,12,2500
2641.98,263.88,263.88,1,41,0,12,3000
1189.52,0,0,0,12,0,12,8000
300,2800.73,2800.73,3,6,0,12,12000
126.69,154.34,154.34,1,5,0,12,10500
247.09,182.36,182.36,3,7,0,12,5500
301.1,0,0,0,10,0,12,1950
1112.2,7616.06,7616.06,4,4,0,12,7200
2410.07,0,0,0,15,1,12,4000
5350.19,0,0,0,101,0.17,12,8000
630.03,0,0,0,1,0,11,5500
3197.24,0,0,0,49,0,12,3000
133,0,0,0,3,0.18,12,3000
1646.16,0,0,0,33,0,12,12000
79.66,0,0,0,12,0,12,1500
319.92,13439.57,13439.57,12,12,0,12,12000
3677.52,0,0,0,98,0,12,12500
1041.63,4003.97,4003.97,6,14,0,12,4000
675.96,0,0,0,12,0.08,12,1000
193.14,0,0,0,5,0.25,12,2000
1703.23,0,0,0,13,1,12,11500
0,468.96,468.96,2,0,0,12,6000
234.16,0,0,0,4,0.5,11,1500
29.68,0,0,0,1,0,12,10000
1322.67,774.26,774.26,6,28,0,12,11000
1607.88,0,0,0,84,0,12,13500
0,1716.94,1716.94,5,0,0.08,12,1800
3183,0,0,0,2,0,12,9000
3014.23,103.61,103.61,1,93,0,12,4500
7323.38,191.33,191.33,1,81,0.08,12,3000
8533.54,7540.31,7540.31,12,72,0,6,10000
408.93,0,0,0,10,0,12,9000
3999.92,0,0,0,14,0,12,7500
2980.46,0,0,0,50,0,12,6000
560.73,0,0,0,11,0,12,7500
569.9,0,0,0,3,0.08,12,9500
6186.77,1898.69,1898.69,1,38,0.08,12,10950
4550.81,438.47,438.47,1,99,0.92,12,8500
150.8,1659.2,1659.2,5,2,0,12,7500
1385.1,0,0,0,21,0.83,12,14000
32539.78,0,0,0,98,0.08,12,11500
410.24,15452.98,15452.98,13,21,0.08,12,16500
47.95,0,0,0,1,0,12,1500
126.57,181.14,181.14,1,4,0,12,2100
380.89,0,0,0,1,0,12,5700
414,0,0,0,9,0.5,12,10500
2010,1189.29,1189.29,1,14,0,12,8500
4693.15,0,0,0,12,0,12,13500
498.96,72.26,72.26,1,12,0,12,1000
224.2,0,0,0,9,0,12,9500
2856.57,0,0,0,62,0,12,2500
0,682.16,682.16,2,0,0.18,12,3000
0,9270.41,9270.41,16,0,0.08,12,7000
0,567.23,567.23,2,0,0,12,3000
409.63,1876.24,1876.24,4,12,0,12,5000
843.34,0,0,0,17,0.5,12,6500
0,512.79,512.79,3,0,0,12,6000
2236.49,0,0,0,34,1,12,10000
464.51,2516.73,2516.73,6,10,0,12,6000
1779,0,0,0,2,0,12,5000
0,348.83,348.83,9,0,0,12,4000
456.36,0,0,0,14,0.33,12,6000
5758.71,0,0,0,48,1,12,2900
245.98,2792.68,2792.68,3,2,0,12,6000
0,3298.96,3298.96,2,0,0,12,12000
733.9,0,0,0,13,0,12,3000
1641.07,380.97,380.97,1,15,0.64,12,500
674.73,1684.96,1684.96,8,12,0,12,4000
2702.47,0,0,0,27,0.08,12,11000
0,1817.57,1817.57,4,0,0,12,8000
1579.15,0,0,0,15,0,12,2700
0,8603.05,8603.05,10,0,0,12,11000
2161.38,0,0,0,41,1,12,4500
1482.19,0,0,0,26,0.67,12,6000
1446.05,0,0,0,16,0.83,12,3500
0,1606.32,1606.32,3,0,0,11,4500
397.06,0,0,0,12,0,12,2100
498.17,0,0,0,14,0.91,12,15000
2009.12,1763.79,1763.79,10,36,0,12,2500
5359.02,0,0,0,60,0,12,6000
0,402.97,402.97,5,0,0,12,1000
0,3394.51,3394.51,3,0,0,12,5500
0,842.46,842.46,7,0,0,11,1000
0,6481.3,6481.3,4,0,0,7,7000
126.2,0,0,0,10,0,12,1950
225,0,0,0,12,0.17,12,1500
734.97,0,0,0,16,0,12,6000
14.95,2173.36,2173.36,11,1,0,12,5700
874.98,4653.69,4653.69,9,16,0,12,12500
0,2443.26,2443.26,7,0,0,12,7500
445.2,0,0,0,4,0,12,8000
0,3264.57,3264.57,9,0,0,12,4500
689.34,0,0,0,24,0.33,12,1500
2006.87,0,0,0,26,0.1,12,21000
678,927.25,927.25,4,12,0,12,2500
0.05,1700.63,1700.63,7,1,0,12,1000
3085.69,0,0,0,21,1,12,8500
0,142.14,142.14,2,0,0,12,3000
1080,0,0,0,12,1,12,6000
2721.16,0,0,0,32,0.08,12,6500
3095.96,0,0,0,32,0.58,12,14000
0,1600.76,1600.76,13,0,0,11,2300
71.07,3595.16,3595.16,9,3,0,12,9500
65,0,0,0,2,0,12,1200
4786.61,0,0,0,61,1,12,9000
174.42,0,0,0,5,0.75,12,2500
242.88,0,0,0,12,0.09,12,13500
216.94,1012,1012,5,3,0,12,3200
2246.3,14048.07,14048.07,20,8,0.8,12,6000
361.73,198.69,198.69,1,2,0,12,1500
330,0,0,0,1,0,10,1800
2854.11,0,0,0,51,1,12,9500
390,0,0,0,7,0,12,2000
422.18,0,0,0,12,0,12,5500
1005.52,0,0,0,33,0,12,3000
2132.93,5340.02,5340.02,20,74,0,12,11000
284.72,0,0,0,16,0.8,12,5000
0,455.58,455.58,1,0,0,12,10500
3244.16,0,0,0,29,0,12,11500
2490.17,5309.95,5309.95,11,8,0,12,9500
1098.31,0,0,0,1,0,12,4800
636.15,0,0,0,5,0.18,12,8500
3018.93,0,0,0,99,0.17,12,5000
1222.97,0,0,0,16,1,12,19500
110.18,6552,6552,17,4,0,12,6000
0,1192.02,1192.02,1,0,0.2,12,3000
0,36.48,36.48,1,0,0,12,1800
983.77,0,0,0,15,0,12,2400
0,474.43,474.43,3,0,0,12,1500
423.24,0,0,0,9,0,8,11000
6079.5,10227.23,10227.23,22,31,0.42,12,7300
439.38,727.66,727.66,8,2,0,12,1200
1207.25,0,0,0,59,0,12,1200
259.13,0,0,0,1,0.25,12,2300
1627.69,0,0,0,49,0,12,5500
0,3423.09,3423.09,10,0,0,12,8000
0,3768.7,3768.7,3,0,0.08,12,8000
5749.96,0,0,0,50,0.83,12,12000
1490.94,2813.06,2813.06,4,25,0,12,9000
0,2333.15,2333.15,1,0,0,12,3000
5068.88,0,0,0,76,0.08,12,4500
1067.28,0,0,0,30,0,12,2000
64.12,0,0,0,2,0,12,7000
6855.59,0,0,0,39,0,12,18500
1631,0,0,0,7,1,12,2500
180.91,0,0,0,6,0,12,1400
0,172.93,172.93,2,0,0,12,1600
136.88,515.15,515.15,2,2,0,12,14000
0,187.57,187.57,1,0,0,12,2000
343.21,1609.9,1609.9,8,4,0,12,1500
16.5,0,0,0,1,0,12,6000
5708.18,0,0,0,47,1,12,4000
42.3,3967.71,3967.71,5,1,0,10,6000
46.67,0,0,0,1,0,12,1800
0,4909.94,4909.94,4,0,0,12,9000
699.12,0,0,0,24,0.58,12,2500
245.39,0,0,0,7,0,12,4000
98,0,0,0,2,0,12,4000
857.36,0,0,0,13,0.08,12,6550
2747.12,246.05,246.05,1,4,0.1,12,5000
11147.33,2728.58,2728.58,8,126,0,12,11000
600,0,0,0,6,0,12,1000
0,2368.87,2368.87,2,0,0,12,10000
255.12,0,0,0,11,0,12,8500
1221.53,1078.79,1078.79,7,2,0.25,6,1200
0,1974.5,1974.5,6,0,0,12,13000
780.64,1227.56,1227.56,6,22,0,12,3500
1532.1,0,0,0,14,0,12,5000
778.33,0,0,0,28,0,12,2000
964.06,5140.29,5140.29,24,8,0,8,6000
1667.13,0,0,0,38,0.25,12,13000
0,4087.17,4087.17,4,0,0,12,8000
1088.83,0,0,0,6,0,12,9000
648.64,0,0,0,5,0,12,2500
0,120.18,120.18,1,0,0,12,2100
0,2171.14,2171.14,10,0,0,12,4500
1897.92,0,0,0,5,1,12,13500
0,76.26,76.26,1,0,0,11,6200
1263.29,0,0,0,25,0.4,12,9500
200,0,0,0,2,0,8,1200
340,3510.12,3510.12,8,1,0,12,6000
1277.58,0,0,0,20,0,12,7000
4117.24,0,0,0,229,0,12,6000
226.23,0,0,0,5,0,12,15000
3970.8,0,0,0,64,0,12,7500
1346.9,0,0,0,14,0.33,12,8000
1050.83,4083.52,4083.52,4,24,0,12,5000
1364.99,284.75,284.75,2,7,0.2,12,2000
0,114.92,114.92,3,0,0,12,1500
0,3017.17,3017.17,4,0,0,12,4500
7553.48,0,0,0,85,0,12,13500
570.16,2817.05,2817.05,7,20,0,12,9000
566.28,3888.76,3888.76,2,17,0,12,4000
0,2819.61,2819.61,3,0,0,12,8000
0,39.65,39.65,2,0,0,11,1800
137.34,4815.11,4815.11,16,1,0,12,10000
0,5105.25,5105.25,14,0,0,12,10000
0,3435.74,3435.74,1,0,0,11,9000
332.82,6649.71,6649.71,24,25,0,12,5000
1377.72,0,0,0,5,0,12,2500
0,1886.47,1886.47,2,0,0,12,6000
0,1462.32,1462.32,2,0,0.13,12,1500
360.7,6517.54,6517.54,15,2,0,12,8000
222.64,249.3,249.3,3,11,0,12,4500
1634.74,94.84,94.84,1,38,0,12,13000
0,340.25,340.25,1,0,0,12,1200
759.15,2493.11,2493.11,6,12,0,12,6000
243.36,0,0,0,2,0.25,12,1800
0,10713.87,10713.87,14,0,0.1,10,10500
0,2820.53,2820.53,3,0,0,12,2500
519,0,0,0,9,0,11,4500
3055.87,0,0,0,26,0,12,4500
2470.4,1652.88,1652.88,1,19,0,12,9500
1671.6,0,0,0,48,0,12,1800
903.36,0,0,0,6,0,12,15000
0,193.74,193.74,1,0,0,12,1200
229.5,0,0,0,7,0.71,12,3150
1476.19,0,0,0,23,0,12,2500
2506.89,0,0,0,30,0,12,8500
2570,124.56,124.56,2,40,0,12,4500
238.34,4809.12,4809.12,8,5,0,6,15000
1342.36,1738.11,1738.11,2,27,0,8,4000
786.32,0,0,0,7,0.67,11,7500
1450.68,0,0,0,20,0.45,12,6000
1239.46,0,0,0,14,0,12,1500
96.75,19.14,19.14,1,7,0,12,1800
4106.15,734.82,734.82,1,50,0.5,12,12000
2022.38,0,0,0,19,0,12,6000
3654.08,0,0,0,32,0.33,12,2500
883.73,0,0,0,26,0,12,3000
795.54,418.48,418.48,1,20,0,12,1700
0,278.59,278.59,1,0,0,12,1200
0,2806.96,2806.96,18,0,0,12,7500
1382.57,0,0,0,33,0,12,2400
565.5,101.14,101.14,1,14,0.25,12,8500
4462.86,4599.63,4599.63,11,103,0,12,11800
1726.67,0,0,0,4,0,12,6000
217,12377.36,12377.36,16,2,0.17,12,9000
0,1483.93,1483.93,8,0,0,12,4000
1748.73,0,0,0,31,0,12,6500
0,149.36,149.36,1,0,0,12,1800
50.98,0,0,0,4,0,12,1200
378.04,0,0,0,4,0,12,11300
1483.12,1992.72,1992.72,3,30,0,12,5000
6407.67,0,0,0,44,0.3,12,14500
0,1161.1,1161.1,2,0,0,11,3500
70,0,0,0,1,0,12,8500
449.96,0,0,0,8,0.6,12,7000
3355.33,0,0,0,27,0.36,12,6500
0,14371.79,14371.79,3,0,0,12,10000
0,818.12,818.12,12,0,0,12,3000
3220.09,0,0,0,24,1,12,15000
6558.55,0,0,0,74,0.92,12,7000
0,1328.64,1328.64,11,0,0,12,4000
4305.05,0,0,0,38,0.67,12,9500
262.1,3053.78,3053.78,13,5,0,12,13000
1626.83,0,0,0,17,0.57,12,13000
3522.57,2485.85,2485.85,6,25,0,12,6000
0,2438.36,2438.36,9,0,0,12,18000
8194.05,0,0,0,121,0.58,12,6000
1604.8,1302.01,1302.01,2,11,0.08,12,4500
709.9,779.26,779.26,2,16,0,12,7000
174,3269.42,3269.42,21,3,0,12,14000
0,554.12,554.12,3,0,0,12,4500
0,655.04,655.04,16,0,0,12,1700
913,0,0,0,5,1,12,7500
606.62,0,0,0,14,0,12,2750
1447.01,49.91,49.91,1,19,0,12,2400
41050.4,0,0,0,157,0.08,12,17000
727.27,0,0,0,11,0.92,12,20000
1869.88,0,0,0,30,0,11,4000
182.94,0,0,0,10,0.3,12,5000
379.28,0,0,0,7,1,12,2500
874.94,0,0,0,18,0,12,1500
26402.39,0,0,0,114,1,12,16500
0,281.04,281.04,3,0,0,12,3000
1752.15,1072.35,1072.35,4,53,0,12,10300
400.41,0,0,0,11,0.67,12,4500
13771.63,0,0,0,83,0.25,12,14500
1172.68,10372.85,10372.85,10,7,0,12,9500
1653.6,1442.4,1442.4,3,14,0,12,5000
4238.79,0,0,0,33,0.08,12,10500
907.37,0,0,0,12,1,12,10000
0,2614.63,2614.63,8,0,0,12,3000
0,6523.78,6523.78,1,0,0,12,12500
569.34,0,0,0,19,1,12,16500
305.78,0,0,0,14,0,12,1500
529.3,4100.89,4100.89,23,10,0,8,19000
2001.19,0,0,0,30,0,12,4500
0,2955.03,2955.03,6,0,0,12,3000
1020.47,0,0,0,27,0,12,6500
4754.32,0,0,0,43,0,12,9500
0,97.2,97.2,3,0,0,12,1200
331.95,10384.82,10384.82,31,2,0,10,8000
1490,8824.7,8824.7,2,1,0,12,12500
558.28,0,0,0,14,0.33,12,8000
1477.44,451.97,451.97,1,10,0,9,1500
1051.1,0,0,0,13,0.38,12,3000
2242.26,228.47,228.47,2,42,0,12,2850
179.24,0,0,0,7,0,12,4000
972.65,1390.37,1390.37,5,15,0,12,5500
4620.34,0,0,0,21,0.08,12,7500
1023.8,0,0,0,2,0,12,20000
6344.3,0,0,0,54,0.08,12,12000
1549.61,3269.1,3269.1,11,19,0,12,17500
734.11,0,0,0,6,0.5,12,5000
2274.21,2854.55,2854.55,23,60,0,12,5000
1635.69,486.81,486.81,1,33,0,12,3000
627.03,0,0,0,8,1,12,6000
55.5,5406.46,5406.46,123,1,0,12,3000
277,0,0,0,2,0.33,6,8500
7479.95,0,0,0,14,0.89,11,15000
3937.59,0,0,0,54,0,12,9500
6300.4,0,0,0,21,1,12,16500
1856.64,0,0,0,12,0,12,1800
4924.41,0,0,0,48,1,10,10500
1308.11,234.6,234.6,1,8,0,6,1500
49039.57,558.17,558.17,1,101,0.25,12,22500
4604.72,1854.53,1854.53,8,46,0,12,9000
227.8,5583.94,5583.94,13,4,0,12,9500
2327.49,1873.27,1873.27,6,18,0,12,6000
1199,8552.91,8552.91,17,1,0.11,11,6750
1174.76,0,0,0,41,0,12,4500
0,2546.89,2546.89,3,0,0,12,4000
469,8005.23,8005.23,52,4,0,6,7000
0,1239.22,1239.22,8,0,0,12,6000
133.39,219.14,219.14,2,3,0,12,2500
10700.63,0,0,0,222,0.82,12,6000
0,1074.74,1074.74,2,0,0,12,1500
49.1,0,0,0,3,0,12,1000
11313.77,0,0,0,98,0.83,12,6000
0,282.9,282.9,3,0,0,12,1200
3525.37,0,0,0,66,0.25,12,15000
258.74,0,0,0,16,1,12,12000
2448.6,0,0,0,12,0,12,1700
293.99,0,0,0,6,0.33,12,12500
709,771.71,771.71,3,3,0,10,10500
1628.07,0,0,0,8,0,12,5000
0,3216.19,3216.19,7,0,0,12,3150
0,2224.69,2224.69,1,0,0,12,7000
165,0,0,0,1,0,12,15000
11681.64,0,0,0,141,0,12,10500
98.97,0,0,0,5,0,12,2500
0,721.21,721.21,4,0,0,12,7500
1142.15,2652.12,2652.12,3,10,0,12,9000
1494.5,0,0,0,8,0,12,8500
646.24,0,0,0,1,0,12,10000
0,2052.84,2052.84,9,0,0.08,12,3500
3608.88,0,0,0,37,1,12,15000
0,3118.05,3118.05,2,0,0,12,7500
0,2846.03,2846.03,6,0,0,12,5000
12465.21,0,0,0,79,0,12,13000
7823.74,2621.05,2621.05,2,62,0,12,19000
24.64,0,0,0,1,0,12,1800
27957.68,0,0,0,70,1,12,9000
372,0,0,0,7,0.2,12,4000
1841.62,4004.27,4004.27,8,21,0,12,7500
1678.07,0,0,0,33,0,12,6500
11674.64,0,0,0,93,0,12,16000
2094.38,0,0,0,17,0,12,4500
0,2970.29,2970.29,5,0,0,11,3000
411.38,99.08,99.08,1,5,0,12,2500
99.19,0,0,0,7,0.17,12,4000
525,2003.83,2003.83,12,1,0,12,2500
1956.06,0,0,0,48,0,12,11500
1750.51,239.19,239.19,2,31,0.25,12,3500
18.41,0,0,0,1,0,12,1000
386.12,3715.64,3715.64,7,9,0,11,4000
0,199.21,199.21,4,0,0,11,2100
0,11549.11,11549.11,15,0,0,12,14500
625.46,0,0,0,10,0,12,7500
963.13,0,0,0,16,0,12,7000
2011.81,0,0,0,8,0.8,12,2100
99.5,7726.51,7726.51,10,10,0,12,8000
1084.09,0,0,0,9,0.71,12,8000
207,1546.73,1546.73,11,11,0,12,8500
1757.47,0,0,0,80,0,12,5000
3837.59,14811.69,14811.69,51,52,0,12,9500
117.57,1022.23,1022.23,2,2,0.1,12,8000
1223.41,0,0,0,25,0.8,12,6000
1710.24,2292.8,2292.8,6,43,0,12,6000
11.06,1261.35,1261.35,1,1,0,12,4000
0,4849.69,4849.69,52,0,0,12,12000
8273.18,0,0,0,53,1,12,7000
619.93,1958.67,1958.67,2,24,0,12,4000
190,0,0,0,3,0.5,10,4000
7680.08,0,0,0,64,0,12,11500
9734.63,0,0,0,194,0.08,12,8500
0,136.66,136.66,1,0,0.2,12,3000
8403.17,3141.1,3141.1,12,117,0.25,12,13000
118.6,0,0,0,25,0.1,12,3300
11202.09,0,0,0,100,0.08,12,7500
794.52,0,0,0,16,0,12,1750
1704.22,0,0,0,16,0.13,10,1500
1044.43,103.17,103.17,1,23,0,12,5000
3651.59,2420.91,2420.91,11,111,0.08,12,4500
6477.6,0,0,0,83,0.83,12,7500
1025.03,0,0,0,67,0.08,12,2800
0,1866.84,1866.84,2,0,0,12,2400
472.71,0,0,0,1,0,12,16000
733.35,5716.15,5716.15,7,11,0.09,11,3000
3050.72,10901.3,10901.3,24,16,0.17,12,11500
601.35,0,0,0,10,0.25,12,7000
0,496.76,496.76,3,0,0,12,1200
0,9671.34,9671.34,1,0,0,12,10500
